sid,n_spots,K,n_layers,ARI_raw,ARI_post,ARI,NMI,HS,CS,time_s,smooth_config
151507,4221.0,7,7.0,0.540099,0.542448,0.539762,0.688229,0.68417,0.692337,140.05,0
151508,4381.0,5,7.0,0.601214,0.601214,0.586359,0.66725,0.587946,0.771282,188.53,0
151509,4788.0,5,7.0,0.616552,0.61601,0.605656,0.70434,0.661236,0.753455,173.39,0
151510,4595.0,5,7.0,0.599122,0.59872,0.599782,0.675924,0.635899,0.721326,192.62,0
151669,3636.0,5,5.0,0.700841,0.700841,0.70156,0.666459,0.627972,0.709973,70.87,0
151670,3484.0,5,5.0,0.464413,0.46477,0.458826,0.581023,0.638188,0.533256,63.54,0
151671,,5,,0.754026959381167,0.754026959381167,0.7498747185461967,0.7506871304703427,0.7423341350267709,0.7592302466925493,55.55943560600281,0
151672,,5,,0.5890395012123403,0.5892770256368223,0.5847391517551773,0.652755532642658,0.6784038230496194,0.6289759527706884,65.19425892829895,0
151673,,7,,0.600530089646584,0.6006804535204139,0.5935564049475988,0.7067803541501978,0.7046251285521015,0.7089488045067049,143.56723594665527,0
151674,,7,,0.6797482257631882,0.6809792020892188,0.662077253906511,0.7417059342212701,0.6937547536207026,0.7967779045388574,142.54847955703735,0
151675,,7,,0.5749701233372868,0.5750396411976857,0.5668604384410963,0.6835270479781044,0.6753578495079784,0.6918962972240956,136.48384618759155,0
151676,,5,,0.5864595061674955,0.5864595061674955,0.5762172033032358,0.6714195719298356,0.604904743634786,0.7543694123120943,143.66244912147522,0
